order,family,sci,com,code,primary,secondary,tree
Anseriformes,Anatidae,Anas rubripes,American Black Duck,ambduc,0,1,1
Anseriformes,Anatidae,Bucephala islandica,Barrow's Goldeneye,bargol,0,1,1
Anseriformes,Anatidae,Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,0,1,1
Anseriformes,Anatidae,Bucephala albeola,Bufflehead,buffle,0,1,1
Anseriformes,Anatidae,Bucephala clangula,Common Goldeneye,comgol,0,1,1
Anseriformes,Anatidae,Mergus merganser,Common Merganser,commer,0,1,1
Anseriformes,Anatidae,Alopochen aegyptiaca,Egyptian Goose,egygoo,0,1,1
Anseriformes,Anatidae,Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,0,1,1
Anseriformes,Anatidae,Histrionicus histrionicus,Harlequin Duck,harduc,0,1,1
Anseriformes,Anatidae,Lophodytes cucullatus,Hooded Merganser,hoomer,0,1,1
Anseriformes,Anatidae,Anas platyrhynchos,Mallard,mallar3,0,1,1
Anseriformes,Anatidae,Aix galericulata,Mandarin Duck,manduc,0,1,1
Anseriformes,Anatidae,Anas fulvigula,Mottled Duck,motduc,0,1,1
Anseriformes,Anatidae,Cairina moschata,Muscovy Duck,musduc,0,1,1
Anseriformes,Anatidae,Aix sponsa,Wood Duck,wooduc,0,1,1
Caprimulgiformes,Apodidae,Chaetura pelagica,Chimney Swift,chiswi,0,1,1
Caprimulgiformes,Nyctibiidae,Nyctibius grandis,Great Potoo,grepot1,0,1,1
Caprimulgiformes,Nyctibiidae,Nyctibius jamaicensis,Northern Potoo,norpot1,0,1,1
Charadriiformes,Scolopacidae,Tringa solitaria,Solitary Sandpiper,solsan,0,1,1
Columbiformes,Columbidae,Zenaida aurita,Zenaida Dove,zendov,0,1,1
Coraciiformes,Alcedinidae,Chloroceryle aenea,American Pygmy Kingfisher,ampkin1,1,0,1
Falconiformes,Falconidae,Falco sparverius,American Kestrel,amekes,0,1,1
Falconiformes,Falconidae,Micrastur ruficollis,Barred Forest-Falcon,baffal1,0,1,1
Falconiformes,Falconidae,Falco rufigularis,Bat Falcon,batfal1,0,1,1
Falconiformes,Falconidae,Micrastur semitorquatus,Collared Forest-Falcon,coffal1,0,1,1
