com,scientific_name,code
Fulvous Whistling-Duck,Dendrocygna bicolor,fuwduc
European Starling,Sturnus vulgaris,eursta
Pacific Wren,Troglodytes pacificus,pacwre1
Winter Wren,Troglodytes hiemalis,winwre3
Northern/Southern House Wren,Troglodytes aedon/musculus,y01309
Eastern Bluebird,Sialia sialis,easblu
Western Bluebird,Sialia mexicana,wesblu
Eastern Screech-Owl,Megascops asio,easowl1
Northern Pygmy-Owl,Glaucidium gnoma,nopowl
Northern Saw-whet Owl,Aegolius acadicus,nswowl
Spotted Owl,Strix occidentalis,spoowl
Western Screech-Owl,Megascops kennicottii,wesowl1
Whiskered Screech-Owl,Megascops trichopsis,whsowl1
American Barn Owl,Tyto furcata,brnowl
