order,family,sci,com,code,primary,secondary,tree
Anseriformes,Anatidae,Bucephala islandica,Barrow's Goldeneye,bargol,0,1,1
Anseriformes,Anatidae,Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,0,1,1
Anseriformes,Anatidae,Bucephala albeola,Bufflehead,buffle,0,1,1
Anseriformes,Anatidae,Bucephala clangula,Common Goldeneye,comgol,0,1,1
Anseriformes,Anatidae,Mergus merganser,Common Merganser,commer,0,1,1
Anseriformes,Anatidae,Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,0,1,1
Anseriformes,Anatidae,Lophodytes cucullatus,Hooded Merganser,hoomer,0,1,1
Anseriformes,Anatidae,Aix galericulata,Mandarin Duck,manduc,0,1,1
Anseriformes,Anatidae,Cairina moschata,Muscovy Duck,musduc,0,1,1
Anseriformes,Anatidae,Aix sponsa,Wood Duck,wooduc,0,1,1
Falconiformes,Falconidae,Falco sparverius,American Kestrel,amekes,0,1,1
Falconiformes,Falconidae,Micrastur ruficollis,Barred Forest-Falcon,baffal1,0,1,1
Falconiformes,Falconidae,Falco rufigularis,Bat Falcon,batfal1,0,1,1
Falconiformes,Falconidae,Micrastur semitorquatus,Collared Forest-Falcon,coffal1,0,1,1
Falconiformes,Falconidae,Herpetotheres cachinnans,Laughing Falcon,laufal1,0,1,1
Passeriformes,Formicariidae,Formicarius moniliger,Mayan Antthrush,bkfant2,0,1,1
Passeriformes,Furnariidae,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,ivbwoo1,0,1,1
Passeriformes,Furnariidae,Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,nobwoo1,0,1,1
Passeriformes,Furnariidae,Sittasomus griseicapillus,Olivaceous Woodcreeper,oliwoo1,0,1,1
Passeriformes,Furnariidae,Dendrocincla homochroa,Ruddy Woodcreeper,rudwoo1,0,1,1
Passeriformes,Furnariidae,Lepidocolaptes affinis,Spot-crowned Woodcreeper,spcwoo1,0,1,1
Passeriformes,Furnariidae,Xiphorhynchus erythropygius,Spotted Woodcreeper,spowoo1,1,0,1
Passeriformes,Furnariidae,Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,stbwoo1,0,1,1
Passeriformes,Furnariidae,Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,stfgle1,0,1,1
Passeriformes,Furnariidae,Lepidocolaptes souleyetii,Streak-headed Woodcreeper,sthwoo1,0,1,1
Passeriformes,Furnariidae,Dendrocincla anabatina,Tawny-winged Woodcreeper,tawwoo1,0,1,1
Passeriformes,Furnariidae,Glyphorynchus spirurus,Wedge-billed Woodcreeper,webwoo1,0,1,1
Passeriformes,Furnariidae,Lepidocolaptes leucogaster,White-striped Woodcreeper,whswoo1,0,1,1
Passeriformes,Hirundinidae,Progne chalybea,Gray-breasted Martin,gybmar,0,1,1
Passeriformes,Hirundinidae,Tachycineta albilinea,Mangrove Swallow,manswa1,0,1,1
Passeriformes,Hirundinidae,Progne subis,Purple Martin,purmar,0,1,1
Passeriformes,Hirundinidae,Tachycineta bicolor,Tree Swallow,treswa,0,1,1
Passeriformes,Hirundinidae,Tachycineta thalassina,Violet-green Swallow,vigswa,0,1,1
Passeriformes,Paridae,Poecile atricapillus,Black-capped Chickadee,bkcchi,0,1,1
Passeriformes,Paridae,Baeolophus atricristatus,Black-crested Titmouse,blctit4,0,1,1
Passeriformes,Paridae,Poecile hudsonicus,Boreal Chickadee,borchi2,1,1,1
Passeriformes,Paridae,Baeolophus wollweberi,Bridled Titmouse,britit,0,1,1
Passeriformes,Paridae,Poecile carolinensis,Carolina Chickadee,carchi,1,1,1
Passeriformes,Paridae,Poecile rufescens,Chestnut-backed Chickadee,chbchi,1,1,1
Passeriformes,Paridae,Baeolophus ridgwayi,Juniper Titmouse,juntit1,0,1,1
Passeriformes,Paridae,Poecile sclateri,Mexican Chickadee,mexchi,1,1,1
Passeriformes,Paridae,Poecile gambeli,Mountain Chickadee,mouchi,0,1,1
Passeriformes,Paridae,Baeolophus inornatus,Oak Titmouse,oaktit,1,1,1
Passeriformes,Paridae,Baeolophus bicolor,Tufted Titmouse,tuftit,0,1,1
Passeriformes,Parulidae,Leiothlypis luciae,Lucy's Warbler,lucwar,0,1,1
Passeriformes,Parulidae,Protonotaria citrea,Prothonotary Warbler,prowar,0,1,1
Passeriformes,Passeridae,Passer montanus,Eurasian Tree Sparrow,eutspa,0,1,1
Passeriformes,Passeridae,Passer domesticus,House Sparrow,houspa,0,1,1
Passeriformes,Sittidae,Sitta pusilla,Brown-headed Nuthatch,bnhnut,1,1,1
Passeriformes,Sittidae,Sitta pygmaea,Pygmy Nuthatch,pygnut,1,1,1
Passeriformes,Sittidae,Sitta canadensis,Red-breasted Nuthatch,rebnut,1,1,1
Passeriformes,Sittidae,Sitta carolinensis,White-breasted Nuthatch,whbnut,0,1,1
Passeriformes,Sturnidae,Sturnus vulgaris,European Starling,eursta,1,1,1
Passeriformes,Tityridae,Tityra inquisitor,Black-crowned Tityra,blctit1,0,1,1
Passeriformes,Tityridae,Tityra semifasciata,Masked Tityra,mastit1,0,1,1
Passeriformes,Troglodytidae,Thryomanes bewickii,Bewick's Wren,bewwre,0,1,1
Passeriformes,Troglodytidae,Thryothorus ludovicianus,Carolina Wren,carwre,0,1,1
Passeriformes,Troglodytidae,Troglodytes pacificus,Pacific Wren,pacwre1,0,1,1
Passeriformes,Troglodytidae,Troglodytes rufociliatus,Rufous-browed Wren,rubwre2,0,1,1
Passeriformes,Troglodytidae,Troglodytes hiemalis,Winter Wren,winwre3,0,1,1
Passeriformes,Troglodytidae,Troglodytes aedon/musculus,Northern/Southern House Wren,y01309,0,1,1
Passeriformes,Turdidae,Sialia sialis,Eastern Bluebird,easblu,0,1,1
